question,context
Apa saja layanan legalisasi yang tersedia di Pusat Layanan Terpadu?,"Layanan Legalisasi: Legalisasi Ijazah, Legalisasi Surat Keterangan Pendamping Ijazah, Legalisasi Transkrip Nilai, Legalisasi Sertifikat Cum Laude, Legalisasi Translate Ijazah, Legalisasi Akreditasi."
Dimana kirim ajuan untuk layanan legalisasi di Pusat Layanan Terpadu?,Kirim ajuan pada tautan: myits-services.its.ac.id
Apa saja layanan translate yang tersedia?,"Layanan Translate: Translate ijazah, Translate Sertifikat Cum Laude, Translate Sertifikat Program Studi Profesi Insinyur (PSPI). Kirim ajuan pada tautan: its.id/translate"
Dimana kirim ajuan untuk layanan Surat Keterangan Lulus?,Kirim ajuan pada tautan: its.id/SKL
Dimana kirim ajuan untuk layanan Surat Keterangan Bekerja?,Kirim ajuan pada tautan: its.id/skbp
Dimana kirim ajuan untuk layanan Usulan Tunjangan Pegawai?,Kirim ajuan pada tautan: its.id/tunjangan
Apa saja layanan surat lainnya yang tersedia?,"Kebutuhan Surat Lainnya: Surat Keterangan Alumni, Surat Permohonan Statement Letter, Surat Rekomendasi Dekan/Rektor, Certification Letter, Surat Keterangan Pengganti Ijazah, Surat Keterangan Berkelakuan Baik, Verification of Academic Records, Surat Keterangan Pengembalian ke Instansi Asal. Kirim dan sertakan dokumen pada Email: plta@its.ac.id"
Dimana akses informasi tentang spesimen tanda tangan pejabat?,Intip informasi pada tautan: www.its.ac.id/burb/id/spesimen-tandatangan
Dimana mendapatkan informasi tentang rekrutmen dosen dan tendik?,Informasi dapat diakses pada tautan: rekrutmen.its.ac.id
Dimana layanan LHKPN dapat diakses?,Layanan dapat diakses pada tautan: elhkpn.kpk.go.id
Dimana layanan LHKASN dapat diakses?,Layanan dapat diakses pada tautan: siharka.menpan.go.id
Bagaimana cara mendapatkan Surat Keterangan Tidak Sedang Menerima Beasiswa?,Kirim permintaan pada platform MyiTS SSO di fitur: MyITS Student Connect
Dimana kirim permintaan untuk layanan Reset Password Sister?,Kirim permintaan pada tautan: servicesdesk.its.ac.id
Dimana layanan Aktivasi Gate dilakukan secara langsung?,"Luring secara realtime di PLT, Gedung KPA, Plaza dr. Angka, Lantai 1"
Dimana melaporkan barang hilang yang ditemukan?,Lapor pada tautan: its.id/lost
Dimana kirim ajuan untuk layanan ID Card Pegawai?,Kirim ajuan pada tautan: its.id/idCard
Pada jam berapa layanan daring dilakukan?,"Catatan: Layanan dilakukan secara daring maupun luring di jam kerja: SENIN - KAMIS Jam Kerja: 08.00 - 16.00 WIB Jam Istirahat: 12.00 - 13.00 WIB, JUMAT Jam Kerja: 08.00 - 15.00 WIB Jam Istirahat: 12.00 - 13.00 WIB."
Bagaimana cara menghubungi Pusat Layanan Terpadu?,"Hubungi Kami: plt@its.ac.id, Phone: 031-599-425-1, PABX: 10100857-0609-0069 (Anita), Hotline ITS: 0811-3055-3555."
Dimana lokasi Pusat Layanan Terpadu di ITS?,"Gedung KPA, Plaza dr.Angka, Lantai 1, Kampus ITS Sukolilo Surabaya."
Dimana mengakses website resmi Pusat Layanan Terpadu ITS?,Website: its.ac.id/burb/id/pusat-layanan-terpadu
